Commnuity Num,Centers ID
0,807095 | 25073877 | 428333 | 759251 | 5402612
1,250831586 | 115485051 | 2893511188 | 50374439 | 425871040
2,79293791 | 27260086 | 15846407 | 813286 | 14230524
3,130447415 | 1401587503 | 109515557 | 219867859 | 58794150
4,23083404 | 627673190 | 26257166 | 158487331 | 2557521
5,68034431 | 1016198241417822208 | 703931480 | 765245597188227073 | 171337448
6,23573083 | 1072915220 | 148711787 | 5536782 | 474886468
7,57297727 | 15506669 | 84410086 | 18500852 | 82137809
8,2987156301 | 2905868411 | 2715466150 | 969362534804475904 | 1030287977371455488
9,335141638 | 1409798257 | 168683422 | 894537112225067008 | 1878450026
10,226326347 | 927680014627241984 | 280689114 | 939228786201186305 | 2948471199
11,782535275989856256 | 2190690667 | 718842217 | 2150538885 | 3152719371
12,366987179 | 76647722 | 115286138 | 1307120064 | 108543358
13,3171712086 | 885487044243238912 | 380749300 | 326588373 | 4921370495
14,118310849 | 2567993977 | 1568798070 | 514323632 | 4536693132
15,789856765 | 305085584 | 1354587091 | 90672713 | 38741679
16,3167581929 | 2170486782 | 134512620 | 33685478
17,2572989374 | 145040740 | 2657659495 | 798376868 | 112724844
18,897779309934329860 | 543136990 | 370089625 | 96077657 | 3333467593
19,15096735 | 369393532 | 479231547 | 54001655 | 845250133
20,15040988 | 62581962 | 264268489 | 153966123 | 2363290530
21,22592948 | 18742444 | 19136295 | 2282638182 | 21514862
22,997850868 | 19875548 | 39219035 | 59936143 | 556020712
23,523150102 | 965706379 | 965704518 | 522122949 | 500713106
24,2786093461 | 4898187935 | 526020054 | 139780268 | 1138842105856573445
25,14919272 | 2445940284 | 177846650 | 464166483 | 3358125363
26,3021012297 | 14504859 | 1249982359 | 408791027 | 15169907
27,745002644 | 2214854612 | 598638417 | 4796939849 | 425951143
28,461363118 | 21815523 | 51988933 | 2974988767 | 418478013
29,296426412 | 4835009165 | 1088193413919490058 | 1209545907785654272 | 1088237158387855361
30,21207962 | 4060086012 | 83959481 | 15230805 | 539421221
31,368996891 | 214570761 | 2392774866 | 47688615 | 142393421
32,3246108461 | 3096047603 | 257023821 | 2841810304 | 1057533357440024578
33,273692315 | 64051613 | 194327389 | 229614044 | 380957466
34,547625189 | 547622332 | 2862359981 | 497788324 | 2909763191
35,1033958130466648064 | 1240238464458616832 | 15511713 | 46291977 | 18802424
36,1687185738 | 111459200 | 3949123577 | 371814548 | 96583256
37,1702605908 | 379641437 | 361557428 | 823460532 | 3052875313
38,800444014910533633 | 45717439 | 2923007800 | 61010640 | 391665993
39,380567317 | 237372254 | 266184605 | 4265721 | 40031983
40,7152572 | 8075962 | 17400407 | 4871863612 | 82959058
41,559513891 | 2707313087 | 131970620 | 284049396 | 2753079093
42,21247989 | 51835519 | 329962164 | 989222666 | 3783090375
43,2303257388 | 251466518 | 3097278581 | 1884428683 | 593700846
44,116677505 | 346455391 | 1127157464 | 424826963 | 2178715179
45,841211876776259585 | 616894653 | 788982234 | 100751034 | 619089687
46,2409543974 | 885017629 | 376502929 | 2722811534 | 1157406157
47,351912183 | 811502319510679552 | 198359733 | 2291348798 | 2523432788
48,255380758 | 1584515125 | 227238702 | 490611277 | 1427751116
49,997783241087008769 | 1497611832 | 2474341078 | 2148246676 | 2434409837
50,809352519411466240 | 359389500 | 919571515 | 457945659 | 406527960
51,893896425226022912 | 251066842 | 776895896 | 250805521 | 1043135468
52,387181116 | 82447359 | 160389629 | 1227920058 | 2896628988
53,169001667 | 93583384 | 231502837 | 3301995352 | 420475251
54,18040230 | 18714463 | 497665754 | 331383958 | 63070483
55,389976060 | 15487001 | 318012857 | 22760824 | 50763889
56,447200783 | 317385247 | 18757886 | 22099513 | 3207903992
57,240452829 | 286347418 | 1426591382 | 2878893035 | 1375196185
58,14594895 | 429269092 | 14595245 | 2419606566 | 55562632
59,274040176 | 3185734130 | 130307536 | 1689754963 | 24226482
60,4781800940 | 91053979 | 57300500 | 86899675 | 80518778
61,246351327 | 251109629 | 8225692 | 456186168 | 14051638
62,1214284454266470400 | 20237983 | 3554698995 | 508283757 | 3033510791
63,136735981 | 1921421754 | 534816166 | 572181124 | 760727840149147652
64,192283428 | 3374164763 | 20787376 | 870012684 | 2262723403
65,1066577732488884224 | 911699773 | 48819002 | 132108761 | 285695061
66,103510804 | 1256236351 | 149003517 | 1968528668 | 1231449447952830464
67,2922225910 | 475462751 | 18938394 | 53738068 | 16350198
68,1203964769100800000 | 210582815 | 173149310 | 119422679 | 275899766
69,895377566411915266 | 934932833562447873 | 331835720 | 1049429475644108801 | 2909933759
70,1173128567619751936 | 2291760925 | 2187361998 | 896809753317437440 | 1150519114110242816
71,762771792813559808 | 563216377 | 468123638 | 1201904834628276226 | 1161564978438004736
72,3992637442 | 52356089 | 562919186 | 2410462636 | 2591382218
73,73459349 | 2516219154 | 4717936273 | 323485231 | 3907973357
74,1067316524 | 2903289301 | 3233764273 | 157608495 | 132874574
75,888794274539503617 | 2354011482 | 1138834007053856769 | 1145566476817989632 | 812889710993379328
76,859814684098150400 | 1369767630 | 2368272042 | 1153820346740441088 | 776477088677138432
77,993017281436311552 | 837240212891684864 | 1142573129409138688 | 787156487453839360 | 979216488459419648
78,1085991417825112064 | 2568445951 | 102773464 | 303023927 | 850295090
79,18905975 | 124244607 | 267274202 | 58511700 | 22954354
80,3086155203 | 3024322424 | 230818835 | 53739661 | 51905772
