source,target
2877269376,50393960
2877269376,44196397
2877269376,19725644
2877269376,15439395
2877269376,1636590253
2877269376,34743251
2877269376,239760107
2877269376,37710752
2877269376,316389142
2877269376,13298072
50393960,813286
50393960,18839785
50393960,807095
50393960,145125358
50393960,1339835893
50393960,5988062
50393960,822215673812119553
50393960,133880286
50393960,14293310
50393960,18228898
50393960,15439395
50393960,239760107
50393960,37710752
50393960,14647570
50393960,30364057
50393960,66369181
50393960,17220934
50393960,15492359
50393960,65647594
50393960,62513246
50393960,816653
50393960,29873662
50393960,14372486
50393960,135421739
50393960,17004618
50393960,169686021
50393960,2955928989
50393960,19058681
50393960,8161232
50393960,15224867
50393960,972651
50393960,108695690
50393960,186154646
50393960,234525371
50393960,2803191
50393960,1652541
50393960,4119741
50393960,2835886194
50393960,3429950987
50393960,123327472
50393960,19877186
50393960,92757138
50393960,20540138
50393960,310703618
50393960,125944392
50393960,2987649676
50393960,512225400
50393960,177378345
50393960,25151374
50393960,2219233063
50393960,349513956
50393960,266336410
50393960,1337785291
50393960,92945681
50393960,19923144
50393960,19426551
50393960,250831586
50393960,203099880
50393960,96792038
50393960,757303975
50393960,68999404
50393960,15513604
50393960,14511951
50393960,1344951
50393960,15007149
50393960,2812768561
50393960,16184358
50393960,20543416
50393960,215952307
50393960,20109973
50393960,7713202
50393960,30261067
50393960,106448460
50393960,14224719
50393960,54885400
50393960,19611483
50393960,110827653
50393960,50769180
50393960,51376979
50393960,130104041
50393960,19927627
50393960,45564482
50393960,16686144
50393960,218975278
50393960,16190898
50393960,1435461
50393960,14499829
50393960,22009731
50393960,4898091
50393960,18949452
50393960,34713362
50393960,134758540
50393960,16129920
50393960,5741722
50393960,161801527
50393960,17899109
50393960,8170292
50393960,15694286
50393960,15273001
50393960,58233603
50393960,8963722
50393960,46220856
50393960,15234407
50393960,49012699
50393960,18208354
50393960,17842366
50393960,15066760
50393960,8766122
50393960,18091904
50393960,19330043
50393960,20646711
50393960,937499232
50393960,130894721
50393960,46335511
50393960,2425151
50393960,25811031
50393960,16589206
50393960,112047805
50393960,18625669
50393960,701725963
50393960,720373269803589632
50393960,19562698
50393960,851707867
50393960,1106231663300919296
50393960,1094550061940465664
50393960,224223563
50393960,15677036
50393960,42458882
50393960,43563720
50393960,28412286
50393960,17850606
50393960,772191131639644160
50393960,183230911
50393960,101695592
50393960,16211434
50393960,17219108
50393960,75974281
50393960,17915334
50393960,14529929
50393960,5548212
50393960,382267114
50393960,16973333
50393960,20567939
50393960,14700117
50393960,103065157
50393960,16343974
50393960,38793443
50393960,271578681
50393960,357830160
50393960,345647706
50393960,21982720
50393960,11740902
50393960,532406707
50393960,8936082
50393960,121817564
50393960,356314733
50393960,74286565
50393960,17093617
50393960,1666038950
50393960,15675138
50393960,36042554
50393960,5120691
50393960,22799750
50393960,19394188
50393960,15537855
50393960,20713061
50393960,39240673
50393960,2836663609
50393960,408338751
50393960,1230961747
50393960,13058232
50393960,1030101967660634112
50393960,5746452
50393960,68462484
50393960,79923701
50393960,25321854
50393960,36728196
50393960,20608910
50393960,1730958428
50393960,203226736
50393960,586291040
50393960,2417586104
50393960,14515734
50393960,8071902
50393960,36670025
50393960,7400702
50393960,38671739
50393960,60496542
50393960,572703802
50393960,1072009236
50393960,526611105
50393960,724640063842344961
50393960,27583994
50393960,3131354884
50393960,162798835
50393960,58154652
50393960,18225368
50393960,71420057
50393960,251757612
50393960,258600324
50393960,287834630
50393960,219243547
50393960,157011426
50393960,37601149
50393960,34747631
50393960,18650093
50393960,209581350
50393960,1090038649
50393960,2715115656
50393960,391037985
50393960,15291335
50393960,226222147
50393960,51580744
50393960,183912009
50393960,19936982
50393960,12044602
50393960,48459821
50393960,14739684
50393960,3624914532
50393960,25053299
50393960,203162990
50393960,16507391
50393960,16305370
50393960,69687111
50393960,246841572
50393960,176486829
50393960,26159579
50393960,17409452
50393960,76351820
50393960,331672974
50393960,30634283
50393960,2916926400
50393960,4616206407
50393960,994653520925200385
50393960,861566753247199233
50393960,13393052
50393960,2728295777
50393960,1227904667163734016
50393960,880104858212343808
50393960,783792992
50393960,1074876241
50393960,84554399
50393960,65659343
50393960,16581604
50393960,228794007
50393960,2668909476
50393960,15872418
50393960,17980523
50393960,27860681
50393960,115044590
50393960,28297965
50393960,753773371
50393960,888853317081862144
50393960,17070787
50393960,183749519
50393960,109220563
50393960,13
50393960,14130366
50393960,293624877
50393960,180004522
50393960,64643056
50393960,94166168
50393960,7309052
50393960,25067168
50393960,15164565
50393960,1020058453
50393960,25390350
50393960,20659839
50393960,19362299
50393960,197434474
50393960,307786551
50393960,46408217
50393960,1175396540401225731
50393960,17481977
50393960,14327149
50393960,137579002
50393960,24608680
50393960,20182642
50393960,16186995
50393960,16896485
50393960,17454769
50393960,25202268
50393960,240649814
50393960,56304605
50393960,34197952
50393960,1368737382
50393960,385926583
50393960,3365454845
50393960,1060998560446070784
50393960,20972121
50393960,348378205
50393960,13201312
50393960,128155589
50393960,44728980
50393960,14517899
50393960,18055737
50393960,15898172
50393960,826288847562559488
50393960,2868663736
50393960,153474021
50393960,2735591
50393960,30602016
50393960,47216804
50393960,17087270
50393960,2419237316
50393960,451586190
50393960,14800270
50393960,570694159
50393960,28137737
50393960,14831475
50393960,3228663286
50393960,16300786
50393960,426909329
50393960,284093185
50393960,1968962180
50393960,28420827
50393960,14353202
50393960,15749983
50393960,208155240
50393960,158426909
50393960,5577902
50393960,245956580
50393960,71059280
50393960,93957809
50393960,902839045356744704
50393960,95092020
50393960,20052899
50393960,20978103
50393960,84810629
50393960,53817066
50393960,360486564
50393960,717313
50393960,35120520
50393960,69914008
50393960,334635978
50393960,300789811
50393960,34686274
50393960,705779423
50393960,809662416
50393960,18213483
50393960,552337027
50393960,338736117
50393960,313199716
50393960,19554706
50393960,22708797
50393960,80655102
50393960,205415788
50393960,23584333
50393960,2359416884
50393960,85318467
50393960,203414077
50393960,28167550
50393960,33836629
50393960,17595439
50393960,22919665
50393960,1208519496996143104
50393960,3180700170
50393960,17596622
50393960,774407512598704128
50393960,43192340
50393960,19929890
50393960,56312411
50393960,463026107
50393960,20
50393960,19404587
50393960,586
50393960,256659585
50393960,14360757
50393960,581123710
50393960,20014300
50393960,8820652
50393960,20478542
50393960,24201405
50393960,22216521
50393960,106808348
50393960,50826280
50393960,473285651
50393960,30047168
50393960,19678610
50393960,931339086652104704
50393960,2458350384
50393960,45544791
50393960,55214226
50393960,27493883
50393960,3125154047
50393960,315919021
50393960,61355746
50393960,104141949
50393960,17266725
50393960,19362341
50393960,144140816
50393960,257400398
50393960,752238751544467456
50393960,140750163
50393960,19397942
50393960,328695608
50393960,16561884
50393960,27678749
50393960,166252256
50393960,17579312
50393960,17850785
50393960,373978904
50393960,372755940
50393960,20068679
50393960,600020334
50393960,30162431
50393960,39163475
50393960,39008466
50393960,15808647
50393960,26585095
50393960,35936474
50393960,14504859
50393960,216939636
50393960,4783690002
50393960,68746721
50393960,48008938
50393960,911297187664949248
50393960,2362618909
50393960,17503180
50393960,20433284
50393960,1198406491
50393960,1210498529325539328
50393960,32843303
50393960,83529586
50393960,219273338
50393960,3191916761
50393960,731132367058968576
50393960,89014429
50393960,18812572
50393960,19739126
50393960,19255050
50393960,15293352
50393960,46233559
50393960,163559269
50393960,39520708
50393960,24166202
50393960,39511166
50393960,115682368
50393960,17074440
50393960,17469289
50393960,43949085
50393960,84358766
50393960,17881732
50393960,16074627
50393960,590785921
50393960,30354991
50393960,96846955
50393960,1137053426
50393960,60630907
50393960,988932100207398912
50393960,1432893792
50393960,15862891
50393960,487833518
50393960,24312877
50393960,58451369
50393960,14086764
50393960,17565514
50393960,839896928
50393960,949129374590291968
50393960,494945082
50393960,14752915
50393960,12811952
50393960,1292895211
50393960,24727891
50393960,2730518088
50393960,33915298
50393960,107225267
50393960,38531995
50393960,345294607
50393960,20386401
50393960,211101217
50393960,543645324
50393960,64857767
50393960,1583815368
50393960,26213879
50393960,47681255
50393960,17028405
50393960,535676544
50393960,43266236
50393960,24699707
50393960,84353161
50393960,28870086
50393960,20155652
50393960,22548403
50393960,36686040
50393960,2384071
50393960,69271273
50393960,15772453
50393960,292131326
50393960,256932842
50393960,60514666
50393960,176368997
50393960,424992013
50393960,296612629
50393960,6509832
50393960,263090427
50393960,72480850
50393960,91795665
50393960,291628739
50393960,1090414103758364672
50393960,109087375
